t,d,Az_tx,El_tx,Az_rx,El_rx,Lfs,Gt,Gr,Gtotal_actual,Pr,Margin,Margin_omni_ref,G_total_required
53,4600.50383924634,-34.0833333333333,11.1749350599504,120.604587631535,-14.3753330963697,119.595995149934,1.17111302501214,0.897667445512268,2.06878047052441,-97.5272146794093,-7.52721467940927,-9.59599514993369,12.5959951499337
54,4629.1102482913,-33.5,11.1724203916743,120.036095852258,-14.2768227276861,119.649837684452,1.22212552584698,0.899350874911828,2.1214764007588,-97.5283612836932,-7.52836128369316,-9.64983768445197,12.649837684452
55,4657.23229408976,-32.9166666666667,11.1698503703229,119.469412846022,-14.1779505421808,119.702445206044,1.27198830459252,0.901027334371488,2.17301563896401,-97.5294295670797,-7.52942956707966,-9.70244520604368,12.7024452060437
56,4684.8675133024,-32.3333333333333,11.1671863418767,118.904780815383,-14.078845598413,119.753833474058,1.32081695095084,0.90269067224846,2.2235076231993,-97.5303258508591,-7.53032585085907,-9.75383347405837,12.7538334740584
57,4712.01377686872,-31.75,11.1643905885996,118.342445167174,-13.9796371120236,119.804018231761,1.36861080695594,0.904338219188236,2.27294902614417,-97.5310692056168,-7.53106920561677,-9.80401823176095,12.8040182317609
58,4738.66929152747,-31.1666666666667,11.1614262896207,117.782654233886,-13.8804538760007,119.853015213427,1.41535254160595,0.905983428420811,2.32133597002676,-97.5316792434003,-7.53167924340033,-9.85301521342708,12.8530152134271
59,4764.83260112634,-30.5833333333333,11.1582574840158,117.225658984358,-13.7814236769512,119.900840151315,1.46103325125108,0.907597644743847,2.36863089599493,-97.5322092553199,-7.53220925531994,-9.90084015131488,12.9008401513149
60,4790.50258771926,-30,11.1548490362967,116.671712724289,-13.6826727108385,119.947508782512,1.50565791825446,0.909176232822468,2.41483415107693,-97.5326746314349,-7.53267463143494,-9.94750878251187,12.9475087825119
61,4815.67847244958,-29.4166666666667,11.1511666042176,116.121070787169,-13.5843250017496,119.993036855656,1.54908229736899,0.910714953089347,2.45979725045834,-97.5332396051981,-7.53323960519808,-9.99303685565641,12.9930368556564
62,4840.35981621767,-28.8333333333333,11.147176608819,115.573990216286,-13.4865018273303,120.037440137532,1.59144189127837,0.912213406146364,2.50365529742473,-97.5337848401072,-7.53378484010724,-10.037440137532,13.037440137532
63,4864.54652013174,-28.25,11.1428462066334,115.03072943856,-13.3893211545582,120.080734419533,1.63273171780707,0.913686961563067,2.54641867937013,-97.5343157401627,-7.53431574016271,-10.0807344195328,13.0807344195328
64,4888.23882574063,-27.6666666666667,11.1381432639799,114.491547931022,-13.2928970895115,120.122935523999,1.67295220520345,0.915112195849644,2.58806440105309,-97.5348711229457,-7.5348711229457,-10.1229355239988,13.1229355239988
65,4911.43731504773,-27.0833333333333,11.1330363332846,113.956705880832,-13.1973393447379,120.164059310417,1.7121037756916,0.916487101408464,2.62859087710006,-97.5354684333172,-7.53546843331716,-10.1640593104172,13.1640593104172
66,4934.14291030518,-26.5,11.1274946313643,113.426463839822,-13.1027527277366,120.204121681489,1.75018434187663,0.91780793595082,2.66799227782745,-97.5361294036619,-7.5361294036619,-10.2041216814894,13.2041216814894
67,4956.35687358766,-25.9166666666667,11.1214880196164,112.901082374612,-13.0092366539276,120.243138589058,1.78707463003848,0.919072872255128,2.7061475022936,-97.5369910867642,-7.53699108676417,-10.2431385890578,13.2431385890578
68,4978.08080614536,-25.3333333333333,11.1149869860632,112.380821713386,-12.9168846873092,120.281126039892,1.82289638127206,0.920299549990182,2.74319593126224,-97.5379301086299,-7.53793010862991,-10.2811260398922,13.2811260398922
69,4999.31664753575,-24.75,11.1079626292001,111.865941390538,-12.8257841117928,120.318100101329,1.85766515792131,0.92147127935074,2.77913643727205,-97.5389636640569,-7.53896366405691,-10.318100101329,13.318100101329
70,5020.06667453394,-24.1666666666667,11.1003866436025,111.356699890367,-12.7360155359587,120.354076906761,1.89137816453743,0.922585208532887,2.81396337307032,-97.5401135336911,-7.54011353369111,-10.3540769067614,13.3540769067614
71,5040.33349982174,-23.5833333333333,11.0922313072485,110.853354291113,-12.647652533701,120.389072660975,1.92404765486364,0.923640852741086,2.84768850760473,-97.5413841533705,-7.54138415337054,-10.3890726609753,13.3890726609753
